tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	location	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	site	software_packages	specimen
3.44	0.362295	0.450477	0.061832000000000005	0.327740 : 0.343062 : 0.329198 : 0.011343 : 0.001463 : 0.001859	6.0	0.021318	ATRM	0.349322 : 61.8 : 6.1	0.329087 : 292.1 : 80.4	0.321590 : 332.6 : -7.3	This study	Critical F: 3.1059									hz05f4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz05f	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f4
											This study											Archeologic	Ceramic																Not Specified	Tel Hazor						hz05f	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f5
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f6	Archeologic	Ceramic	7.99e-05	0.03	c	1.08	0.97	0.83	0.14	0.93	0.92	0.83	2.57	12.0	5.0	30.8	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	273.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f6
1.33	2.525852	1.2329450000000002	1.951634	0.341350 : 0.321389 : 0.337260 : 0.023369 : 0.010183 : 0.003352	6.0	0.015639	ATRM	0.360005 : 216.1 : -21.0	0.335446 : 183.7 : 65.6	0.304548 : 301.5 : 12.0	This study	Critical F: 3.1059									hz05f6;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz05f	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05f6
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05g1	Archeologic	Ceramic	8e-05	0.02	c	0.97	0.94	0.3	4.97	0.78	0.81	0.89	2.36	12.0	6.0	34.13	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g1
5.28	5.679917	3.248574	3.860035	0.328654 : 0.326597 : 0.344749 : -0.010759 : 0.027602 : 0.006419	6.0	0.011972	ATRM	0.364766 : 93.2 : 53.6	0.334249 : 161.0 : -15.5	0.300985 : 241.0 : 31.9	This study	Critical F: 3.1059									hz05g1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g1
	2.426605	2.4979299999999998	0.715276	0.323063 : 0.337958 : 0.338979 : -0.012105 : 0.021914 : 0.000471	9.0	0.01526	AARM	0.362157 : 106.6 : 42.0	0.328048 : 159.0 : -34.1	0.309796 : 226.8 : 29.2	This study	Critical F: 2.6848									hz05g1;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	b	hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05g2	Archeologic	Ceramic	7.97e-05	0.02	c	0.96	0.95	1.27	0.44	0.79	0.76	0.83	3.32	10.0	5.0	29.82	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g2
4.99	1.6652470000000001	0.792501	1.3107229999999999	0.318936 : 0.346596 : 0.334467 : 0.013890 : -0.002905 : 0.002946	6.0	0.013902000000000001	ATRM	0.352504 : 67.9 : -5.0	0.335002 : 4.4 : 78.9	0.312494 : 157.0 : 9.9	This study	Critical F: 3.1059									hz05g2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g2
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05g3	Archeologic	Ceramic	8.41e-05	0.02	c	0.93	0.94	1.5	0.36	0.77	0.81	0.88	4.12	12.0	5.0	31.93	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	373.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g3
7.82	3.173315	2.06678	1.9010189999999998	0.346627 : 0.323344 : 0.330029 : 0.014714 : -0.008639 : 0.000142	6.0	0.010471	ATRM	0.354331 : 207.7 : 9.1	0.333043 : 316.5 : 63.5	0.312627 : 113.5 : 24.6	This study	Critical F: 3.1059									hz05g3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g3
	6.511065	6.011341000000001	2.3992560000000003	0.343444 : 0.332680 : 0.323876 : 0.036839 : -0.006757 : 0.007164	9.0	0.013800999999999999	AARM	0.375312 : 220.7 : -1.1	0.327460 : 307.6 : 69.8	0.297229 : 131.1 : 20.2	This study	Critical F: 2.6848									hz05g3;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	g	hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05g4	Archeologic	Ceramic	8.41e-05	0.02	c	0.95	0.95	1.44	2.53	0.8	0.8	0.87	3.34	10.0	6.0	40.65	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	523.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g4
4.18	2.085388	0.933666	1.712105	0.345573 : 0.325362 : 0.329065 : 0.002280 : -0.013632 : 0.014112	6.0	0.013932	ATRM	0.354619 : 166.6 : -33.5	0.335581 : 236.1 : 27.9	0.309800 : 295.7 : -43.7	This study	Critical F: 3.1059									hz05g4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05g5	Archeologic	Ceramic	7.55e-05	0.02	c	1.04	0.94	0.73	0.18	0.83	0.82	0.89	4.29	13.0	6.0	30.36	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g5
3.97	7.537437	9.948754	1.011499	0.320835 : 0.316065 : 0.363100 : 0.009796 : 0.001684 : 0.026291	6.0	0.012449	ATRM	0.376257 : 192.4 : -63.2	0.320725 : 241.6 : 18.3	0.303018 : 145.1 : 18.9	This study	Critical F: 3.1059									hz05g5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g5
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05g6	Archeologic	Ceramic	7.730000000000001e-05	0.03	c	0.98	0.93	1.06	5.21	0.77	0.81	0.88	2.65	11.0	6.0	25.37	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g6
4.81	7.828589999999999	2.427565	7.876983999999999	0.331015 : 0.326632 : 0.342353 : 0.015249 : -0.017363 : 0.002867	6.0	0.007883	ATRM	0.355342 : 244.3 : 47.9	0.337973 : 198.4 : -32.1	0.306685 : 304.6 : -24.0	This study	Critical F: 3.1059									hz05g6;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05g	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05g6
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05h1	Archeologic	Ceramic	7.140000000000001e-05	0.01	c	1.0	0.91	1.1	1.6	0.85	0.77	0.89	1.97	11.0	6.0	76.43	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05h	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05h1
6.91	11.373629	5.98065	8.299444	0.329146 : 0.333463 : 0.337390 : 0.028654 : 0.000926 : 0.019715	6.0	0.009292	ATRM	0.367378 : 40.8 : 27.4	0.335240 : 263.8 : 54.7	0.297382 : 142.0 : 20.5	This study	Critical F: 3.1059									hz05h1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05h	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05h1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05h2	Archeologic	Ceramic	7.18e-05	0.03	c	1.0	0.92	0.32	3.28	0.82	0.78	0.89	1.65	11.0	6.0	21.82	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05h	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05h2
7.96	7.52723	1.853047	8.331428	0.340876 : 0.317594 : 0.341531 : -0.033178 : -0.002617 : -0.002400	6.0	0.011751000000000001	ATRM	0.364404 : 144.7 : 1.1	0.341782 : 249.6 : 85.6	0.293814 : 234.6 : -4.2	This study	Critical F: 3.1059									hz05h2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05h	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05h2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05h3	Archeologic	Ceramic	6.0599999999999996e-05	0.03	c	1.0	0.91	2.12	1.98	0.91	0.8	0.89	4.84	11.0	5.0	24.89	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05h	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05h3
5.59	97.507616	76.683724	46.45645	0.312725 : 0.332428 : 0.354847 : -0.018663 : -0.013601 : 0.069421	6.0	0.006895999999999999	ATRM	0.412429 : 335.5 : 50.1	0.327023 : 85.3 : 15.9	0.260548 : 187.1 : 35.5	This study	Critical F: 3.1059									hz05h3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05h	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05h3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05h4	Archeologic	Ceramic	7.390000000000001e-05	0.02	c	1.0	0.91	1.29	2.6	0.91	0.84	0.9	2.76	12.0	6.0	39.19	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05h	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05h4
5.85	11.527654	4.272122	10.609905	0.311276 : 0.339448 : 0.349275 : -0.018463 : -0.005420 : 0.018669	6.0	0.008768000000000001	ATRM	0.363883 : 131.5 : -48.3	0.338254 : 99.0 : 36.9	0.297863 : 201.9 : 16.6	This study	Critical F: 3.1059									hz05h4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05h	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05h4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05h5	Archeologic	Ceramic	6.24e-05	0.03	c	1.0	0.91	2.84	4.4	0.87	0.77	0.89	4.62	11.0	6.0	23.2	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05h	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05h5
5.21	35.485101	45.347459	5.456624	0.307977 : 0.350102 : 0.341921 : -0.008211 : -0.061336 : 0.030002	6.0	0.010856999999999999	ATRM	0.414220 : 109.7 : -43.2	0.310823 : 32.0 : 12.7	0.274957 : 134.5 : 44.0	This study	Critical F: 3.1059									hz05h5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz05h	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05h5
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05h6	Archeologic	Ceramic	8e-05	0.02	c	1.0	0.9	0.6	3.82	0.9	0.86	0.9	1.62	12.0	6.0	44.73	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05h	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05h6
14.15	1.7693	0.34718000000000004	2.113672	0.348462 : 0.344753 : 0.306785 : -0.007432 : 0.008725 : 0.000456	6.0	0.017322	ATRM	0.354828 : 319.1 : -6.4	0.340394 : 227.8 : -11.4	0.304779 : 257.8 : 76.9	This study	Critical F: 3.1059									hz05h6;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz05h	hz05	pmagpy-3.4.1: thellier_gui.v.3.0	hz05h6
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06a1	Archeologic	Ceramic	6.330000000000001e-05	0.03	c	1.12	0.97	1.37	2.21	0.87	0.91	0.89	4.57	13.0	6.0	28.99	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a1
4.36	2.397537	2.448906	0.7192810000000001	0.320580 : 0.322548 : 0.356872 : -0.008256 : 0.014862 : 0.004009	6.0	0.015518	ATRM	0.362432 : 86.4 : 69.8	0.328090 : 142.0 : -11.8	0.309478 : 228.5 : 16.2	This study	Critical F: 3.1059									hz06a1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06a2	Archeologic	Ceramic	8.06e-05	0.03	c	0.92	0.94	1.22	1.33	0.84	0.88	0.9	4.4	13.0	6.0	25.48	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a2
0.51	49.2065	43.084952	19.898094	0.335840 : 0.356653 : 0.307507 : -0.016383 : 0.021187 : -0.002801	6.0	0.004656	ATRM	0.371942 : 295.7 : -17.5	0.328717 : 201.3 : -13.5	0.299342 : 255.6 : 67.6	This study	Critical F: 3.1059									hz06a2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06a3	Archeologic	Ceramic	7.709999999999999e-05	0.03	c	0.95	0.93	1.32	2.74	0.8	0.85	0.89	3.37	12.0	6.0	25.59	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a3
2.81	5.091076	2.724385	3.662553	0.346294 : 0.336706 : 0.317000 : 0.015445 : 0.005855 : -0.015966	6.0	0.010862	ATRM	0.360035 : 210.5 : 14.1	0.334681 : 111.3 : 32.5	0.305284 : 320.6 : 53.9	This study	Critical F: 3.1059									hz06a3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a3
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06a4	Archeologic	Ceramic	5.94e-05	0.03	c	1.2	0.97	0.36	10.37	0.77	0.78	0.89	3.19	11.0	6.0	20.05	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a4
4.36	1.7882779999999998	1.58314	0.709801	0.315212 : 0.319498 : 0.365290 : -0.014979 : 0.017833 : 0.000902	6.0	0.024242	ATRM	0.371719 : 102.5 : 69.5	0.328582 : 139.0 : -16.7	0.299698 : 225.5 : 11.5	This study	Critical F: 3.1059									hz06a4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	b	hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a4
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06a5	Archeologic	Ceramic	6.159999999999999e-05	0.04	c	1.03	0.96	1.27	7.46	0.89	0.87	0.9	1.66	12.0	6.0	21.31	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a5
3.49	20.28408	33.381684	0.512905	0.335028 : 0.341259 : 0.323713 : -0.030413 : 0.020863 : -0.014134	6.0	0.00804	ATRM	0.379846 : 130.8 : 24.0	0.314149 : 1.3 : 55.0	0.306006 : 232.2 : 23.8	This study	Critical F: 3.1059									hz06a5;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a5
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06a6	Archeologic	Ceramic	7.020000000000001e-05	0.02	c	1.02	0.95	1.1	5.31	0.74	0.77	0.89	2.87	11.0	6.0	35.22	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a6
4.21	13.449587	7.918558	8.902901	0.314742 : 0.363510 : 0.321748 : -0.011595 : 0.013095 : 0.015617	6.0	0.008606	ATRM	0.368270 : 98.5 : 12.9	0.334022 : 173.4 : -48.7	0.297708 : 198.9 : 38.3	This study	Critical F: 3.1059									hz06a6;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a6
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06a7	Archeologic	Ceramic	7.35e-05	0.02	c	1.02	0.93	1.6	1.65	0.78	0.8	0.89	3.27	11.0	5.0	39.84	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	423.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a7
2.67	18.516389	16.072891000000002	7.595953	0.331114 : 0.335128 : 0.333758 : -0.004122 : 0.033985 : -0.014607	6.0	0.0077480000000000005	ATRM	0.372687 : 295.1 : -43.5	0.328757 : 203.0 : -2.2	0.298557 : 290.6 : 46.4	This study	Critical F: 3.1059									hz06a7;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06a	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06a7
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06b1	Archeologic	Ceramic	8.809999999999999e-05	0.02	c	0.87	0.93	1.69	0.38	0.75	0.79	0.87	2.17	9.0	5.0	41.64	5.9999999999999995e-05	Not Specified	Tel Hazor	803.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06b	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06b1
1.89	28.194474	29.151082000000002	8.227125	0.331727 : 0.366873 : 0.301400 : -0.018839 : -0.019119 : 0.001563	6.0	0.0071400000000000005	ATRM	0.379331 : 292.0 : 13.2	0.324815 : 199.2 : 11.6	0.295854 : 69.2 : 72.2	This study	Critical F: 3.1059									hz06b1;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06b	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06b1
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06b2	Archeologic	Ceramic	8e-05	0.01	c	0.95	0.93	1.0	1.66	0.76	0.83	0.88	2.35	10.0	5.0	70.83	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06b	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06b2
2.57	50.932216	56.429412	12.505755	0.308455 : 0.348113 : 0.343432 : -0.018836 : -0.030897 : 0.000172	6.0	0.005286	ATRM	0.379584 : 104.9 : -39.6	0.323426 : 141.1 : 44.3	0.296989 : 31.5 : 19.0	This study	Critical F: 3.1059									hz06b2;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06b	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06b2
											This study										LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06b3	Archeologic	Ceramic	9.1e-05	0.02	c	0.85	0.93	0.62	2.7	0.88	0.95	0.9	1.91	13.0	6.0	34.73	5.9999999999999995e-05	Not Specified	Tel Hazor	863.0	373.0	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06b	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06b3
4.23	36.538287	28.6997	17.438563000000002	0.328212 : 0.364358 : 0.307430 : 0.017452 : 0.008344 : 0.020446	6.0	0.005959000000000001	ATRM	0.375165 : 243.9 : -13.7	0.330015 : 146.3 : -28.7	0.294820 : 176.5 : 57.6	This study	Critical F: 3.1059									hz06b3;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06b	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06b3
											This study										LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz06b4	Archeologic	Ceramic	8.149999999999999e-05	0.03	c	0.91	0.94	0.79	6.53	0.78	0.83	0.89	2.47	10.0	5.0	21.78	5.9999999999999995e-05	Not Specified	Tel Hazor	833.0	473.0	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz06b	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06b4
6.26	19.051164	26.44455	2.0013810000000003	0.314985 : 0.366793 : 0.318221 : -0.012705 : -0.008383 : 0.008868	6.0	0.006957	ATRM	0.371703 : 104.3 : -10.9	0.321108 : 28.8 : 52.3	0.307189 : 6.4 : -35.5	This study	Critical F: 3.1059									hz06b4;ATRM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-TRM	g	hz06b	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06b4
	2.2035549999999997	2.5776939999999997	0.46223000000000003	0.326014 : 0.361039 : 0.312947 : -0.004342 : 0.001828 : 0.003730	9.0	0.015415	AARM	0.361607 : 276.8 : -1.6	0.326607 : 186.3 : -16.0	0.311786 : 192.4 : 73.9	This study	Critical F: 2.6848									hz06b4;AARM	Archeologic	Ceramic																Not Specified	Tel Hazor				AE-H:LP-AN-ARM	b	hz06b	hz06	pmagpy-3.4.1: thellier_gui.v.3.0	hz06b4
