acceptance criteria:
specimen_int_n	specimen_scat
3	1.000
--------------------------------
er_sample_name	er_specimen_name	specimen_int_corr_anisotropy	Anisotropy_code	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_lab_field_dc_uT	specimen_int_min_uT	specimen_int_max_uT	WARNING
mc222b	mc222b1	-	-	-	-	30.0	10.2	36.5	WARNING: No anisotropy correction
mc223a	mc223a1	-	-	-	-	30.0	11.1	59.8	WARNING: No anisotropy correction
mc223b	mc223b1	-	-	-	-	30.0	9.1	103.1	WARNING: No anisotropy correction
mc223c	mc223c2	-	-	-	-	30.0	7.3	84.4	WARNING: No anisotropy correction
mc223g	mc223g1	-	-	-	-	30.0	4.7	36.7	WARNING: No anisotropy correction
mc223l	mc223l1	-	-	-	-	30.0	12.5	62.5	WARNING: No anisotropy correction
mc224b	mc224b1	-	-	-	-	30.0	26.3	26.3	WARNING: No anisotropy correction
mc225a	mc225a1	-	-	-	-	30.0	12.7	62.0	WARNING: No anisotropy correction
mc225b	mc225b1	-	-	-	-	30.0	10.8	72.0	WARNING: No anisotropy correction
mc225c	mc225c1	-	-	-	-	30.0	10.4	49.5	WARNING: No anisotropy correction
mc225d	mc225d1	-	-	-	-	30.0	21.7	37.7	WARNING: No anisotropy correction
mc225i	mc225i1	-	-	-	-	30.0	13.3	42.0	WARNING: No anisotropy correction
mc226b	mc226b1	-	-	-	-	30.0	19.0	30.5	WARNING: No anisotropy correction
mc227b	mc227b1	-	-	-	-	30.0	15.8	15.8	WARNING: No anisotropy correction
mc228a	mc228a1	-	-	-	-	30.0	7.3	32.1	WARNING: No anisotropy correction
mc228b	mc228b1	-	-	-	-	30.0	7.5	33.1	WARNING: No anisotropy correction
mc228d	mc228d1	-	-	-	-	30.0	9.3	37.4	WARNING: No anisotropy correction
mc228e	mc228e1	-	-	-	-	30.0	10.8	38.8	WARNING: No anisotropy correction
mc228g	mc228g1	-	-	-	-	30.0	15.9	42.2	WARNING: No anisotropy correction
mc229b	mc229b1	-	-	-	-	30.0	459.5	459.5	WARNING: No anisotropy correction
mc229g	mc229g1	-	-	-	-	30.0	15.3	103.3	WARNING: No anisotropy correction
mc229h	mc229h1	-	-	-	-	30.0	8.8	70.0	WARNING: No anisotropy correction
mc229i	mc229i1	-	-	-	-	30.0	9.3	96.9	WARNING: No anisotropy correction
mc229k	mc229k1	-	-	-	-	30.0	12.4	90.5	WARNING: No anisotropy correction
mc26a	mc26a	-	-	-	-	40.0	4.3	43.9	WARNING: No anisotropy correction
mc26c	mc26c	-	-	-	-	40.0	10.2	32.3	WARNING: No anisotropy correction
mc26d	mc26d	-	-	-	-	40.0	7.1	48.1	WARNING: No anisotropy correction
mc26e	mc26e	-	-	-	-	40.0	8.7	78.0	WARNING: No anisotropy correction
mc28a	mc28a	-	-	-	-	40.0	9.2	45.8	WARNING: No anisotropy correction
mc28b	mc28b	-	-	-	-	40.0	6.4	68.0	WARNING: No anisotropy correction
mc28c	mc28c	-	-	-	-	40.0	11.2	41.8	WARNING: No anisotropy correction
mc28f	mc28f	-	-	-	-	40.0	5.0	47.7	WARNING: No anisotropy correction
mc29d	mc29d	-	-	-	-	40.0	1.6	37.1	WARNING: No anisotropy correction
mc30a	mc30a	-	-	-	-	40.0	26.8	69.9	WARNING: No anisotropy correction
mc30b	mc30b	-	-	-	-	40.0	29.4	95.6	WARNING: No anisotropy correction
mc30d	mc30d	-	-	-	-	40.0	30.3	68.2	WARNING: No anisotropy correction
mc30e	mc30e	-	-	-	-	40.0	21.4	60.2	WARNING: No anisotropy correction
mc31b	mc31b	-	-	-	-	40.0	5.6	29.3	WARNING: No anisotropy correction
mc32a	mc32a	-	-	-	-	40.0	20.3	36.9	WARNING: No anisotropy correction
mc32b	mc32b	-	-	-	-	40.0	26.9	88.9	WARNING: No anisotropy correction
mc32d	mc32d	-	-	-	-	40.0	18.3	52.9	WARNING: No anisotropy correction
mc32e	mc32e	-	-	-	-	40.0	8.5	44.9	WARNING: No anisotropy correction
mc33b	mc33b	-	-	-	-	40.0	11.8	53.9	WARNING: No anisotropy correction
mc33c	mc33c	-	-	-	-	40.0	4.3	49.1	WARNING: No anisotropy correction
mc33e	mc33e	-	-	-	-	40.0	9.6	54.2	WARNING: No anisotropy correction
mc34c	mc34c	-	-	-	-	40.0	8.5	49.5	WARNING: No anisotropy correction
mc35a	mc35a	-	-	-	-	40.0	17.7	57.8	WARNING: No anisotropy correction
mc35b	mc35b	-	-	-	-	40.0	14.9	38.7	WARNING: No anisotropy correction
mc35c	mc35c	-	-	-	-	40.0	14.6	44.6	WARNING: No anisotropy correction
mc35d	mc35d	-	-	-	-	40.0	16.9	50.3	WARNING: No anisotropy correction
mc36a	mc36a	-	-	-	-	40.0	23.7	45.7	WARNING: No anisotropy correction
mc36b	mc36b	-	-	-	-	40.0	7.2	34.5	WARNING: No anisotropy correction
mc36e	mc36e	-	-	-	-	40.0	14.5	33.3	WARNING: No anisotropy correction
mc36h	mc36h	-	-	-	-	40.0	18.1	67.7	WARNING: No anisotropy correction
mc37c	mc37c	-	-	-	-	40.0	27.4	84.7	WARNING: No anisotropy correction
mc37d	mc37d	-	-	-	-	40.0	20.1	60.3	WARNING: No anisotropy correction
mc37e	mc37e	-	-	-	-	40.0	18.7	67.1	WARNING: No anisotropy correction
mc37h	mc37h	-	-	-	-	40.0	15.5	93.0	WARNING: No anisotropy correction
mc38g	mc38g	-	-	-	-	40.0	11.9	67.6	WARNING: No anisotropy correction
mc39a	mc39a	-	-	-	-	40.0	10.2	58.2	WARNING: No anisotropy correction
mc39b	mc39b	-	-	-	-	40.0	6.0	84.4	WARNING: No anisotropy correction
mc39c	mc39c	-	-	-	-	40.0	10.1	35.9	WARNING: No anisotropy correction
mc40a	mc40a	-	-	-	-	40.0	1.4	27.3	WARNING: No anisotropy correction
mc40b	mc40b	-	-	-	-	40.0	8.0	77.4	WARNING: No anisotropy correction
mc40e	mc40e	-	-	-	-	40.0	18.0	103.5	WARNING: No anisotropy correction
mc41h	mc41h	-	-	-	-	40.0	8.5	29.1	WARNING: No anisotropy correction
mc42c	mc42c	-	-	-	-	40.0	1.6	11.8	WARNING: No anisotropy correction
mc43f	mc43f	-	-	-	-	40.0	3.3	30.6	WARNING: No anisotropy correction
mc44a	mc44a	-	-	-	-	40.0	9.9	96.7	WARNING: No anisotropy correction
mc44b	mc44b	-	-	-	-	40.0	13.0	48.0	WARNING: No anisotropy correction
mc44g	mc44g	-	-	-	-	40.0	4.1	26.1	WARNING: No anisotropy correction
mc44h	mc44h	-	-	-	-	40.0	10.4	29.7	WARNING: No anisotropy correction
mc48a	mc48a	-	-	-	-	40.0	3.9	18.7	WARNING: No anisotropy correction
mc48b	mc48b	-	-	-	-	40.0	4.2	22.1	WARNING: No anisotropy correction
mc48f	mc48f	-	-	-	-	40.0	10.0	31.3	WARNING: No anisotropy correction
mc48g	mc48g	-	-	-	-	40.0	11.6	28.6	WARNING: No anisotropy correction
mc49e	mc49e	-	-	-	-	40.0	4.2	10.4	WARNING: No anisotropy correction
mc50a	mc50a	-	-	-	-	40.0	16.8	56.7	WARNING: No anisotropy correction
mc50b	mc50b	-	-	-	-	40.0	8.8	38.6	WARNING: No anisotropy correction
mc50f	mc50f	-	-	-	-	40.0	7.9	40.1	WARNING: No anisotropy correction
